,Week_ID,Year,Away_Team,Away_Score,Home_Team,Home_Score,Favored_Team,Vegas_Line,Away_PPG_ma,Away_FD_ma,Away_RYPG_ma,Away_PYPG_ma,Away_TO_ma,Away_PPGA_ma,Away_FDA_ma,Away_RYPGA_ma,Away_PYPGA_ma,Away_TOA_ma,Away_Win_Rate,Home_PPG_ma,Home_FD_ma,Home_RYPG_ma,Home_PYPG_ma,Home_TO_ma,Home_PPGA_ma,Home_FDA_ma,Home_RYPGA_ma,Home_PYPGA_ma,Home_TOA_ma,Home_Win_Rate,Away_Elo,Home_Elo,CF_Result,Point_Differential
307,307,2003,26,17,29,20,29,-3.5,20.25,18.0,107.5,186.0,1.75,20.25,20.5,132.0,187.5,2.25,0.625,22.5,20.75,140.0,252.5,2.5,20.5,15.25,80.75,175.75,1.5,0.5,1536.7787093785773,1455.5929807658526,0.5427876114845276,-3
308,308,2003,3,20,11,24,3,-2.5,16.5,18.0,119.0,168.5,0.75,26.25,18.0,91.0,202.5,1.0,0.125,12.0,17.0,84.25,213.5,1.75,26.5,17.0,126.0,198.0,1.25,0.25,1437.1563942959988,1253.6478886954626,0.40554267168045044,-4
309,309,2003,17,17,5,10,17,-3.0,27.5,19.0,125.5,193.0,1.75,18.0,18.75,127.75,192.75,2.75,0.75,25.75,17.0,174.25,149.5,2.5,22.75,20.0,113.75,199.75,2.25,0.5,1609.7411152742775,1485.6163277182068,0.6794940829277039,7
310,310,2003,16,31,8,34,8,-7.0,16.25,20.25,101.25,233.25,1.75,29.75,23.25,160.75,242.25,1.5,0.125,19.25,15.5,121.75,144.75,0.75,19.0,19.5,109.75,217.5,1.5,0.625,1406.1276112745666,1624.7516666975064,0.8442628979682922,-3
311,311,2003,7,3,0,23,0,-6.0,21.0,15.75,82.75,184.25,2.75,25.25,18.5,148.75,219.25,2.25,0.375,17.5,14.75,116.5,140.0,2.25,13.0,15.75,78.75,210.75,2.25,0.75,1560.7885519829163,1482.01262746371,0.5304806232452393,-20
312,312,2003,25,17,15,6,15,-3.0,16.25,14.25,90.5,194.0,2.5,26.5,18.0,104.0,230.5,2.75,0.375,20.25,16.5,68.0,234.75,0.5,19.25,19.5,152.0,177.75,1.25,0.375,1358.7711878010512,1425.5511076412022,0.6460292339324951,11
313,313,2003,22,16,1,20,1,-12.0,24.25,18.0,73.0,237.5,2.25,29.0,19.0,144.0,263.5,2.0,0.125,33.75,21.75,207.5,169.5,1.0,10.0,15.75,73.75,176.0,2.0,0.625,1282.6108380828791,1672.3679734142643,0.03769809752702713,-4
314,314,2003,23,55,9,21,23,-1.5,21.25,18.25,98.25,182.5,1.0,9.75,16.75,114.25,147.75,1.5,0.75,14.75,14.0,88.5,182.25,2.25,18.5,18.5,104.0,192.5,1.5,0.375,1636.6521034677203,1575.605008292171,0.973414421081543,34
315,315,2003,2,38,10,23,2,-4.0,21.5,19.0,110.5,206.75,2.5,24.5,19.5,105.0,225.25,1.5,0.625,8.5,10.0,68.75,116.0,3.5,28.0,19.5,153.25,175.75,1.25,0.25,1666.0015230202644,1281.5037843541295,0.5433333516120911,15
316,316,2003,1,23,17,24,17,-3.5,29.5,20.75,162.5,185.0,1.25,12.25,15.25,88.75,180.5,1.5,0.75,31.75,20.0,146.75,194.0,1.5,14.5,17.75,108.25,205.25,3.5,0.75,1697.0899877043257,1636.1725472258768,0.46235930919647217,-1
317,317,2003,9,13,0,19,0,-7.0,18.5,15.75,96.0,204.5,2.5,29.75,20.25,107.75,225.0,0.75,0.25,17.25,15.75,142.75,140.75,2.0,10.25,16.5,101.0,208.75,1.5,0.875,1534.9948901412101,1506.5493448522868,0.22502881288528442,-6
318,318,2003,21,13,2,35,2,-1.0,30.0,21.75,135.0,240.0,1.0,15.25,20.25,89.75,252.0,3.5,0.75,26.75,19.25,128.75,203.0,2.5,19.75,19.75,118.0,218.25,2.0,0.625,1515.347338767303,1708.5515272342545,0.32372957468032837,-22
319,319,2003,8,21,10,24,8,-3.5,21.75,14.75,81.75,208.25,1.0,26.75,22.25,154.25,236.5,1.5,0.625,10.75,13.75,100.25,128.25,3.0,31.5,20.75,178.0,182.75,1.0,0.125,1644.3919550628718,1238.9537801401393,0.016677187755703926,-3
320,320,2003,19,30,26,38,26,-1.0,22.25,17.75,68.5,219.75,1.25,19.5,17.25,63.25,220.5,1.25,0.875,17.75,18.75,105.0,202.25,2.25,19.25,19.25,97.75,195.25,2.25,0.5,1597.7079626912177,1525.6881689883164,0.08631064742803574,-8
321,321,2003,14,16,4,22,4,-7.0,15.25,17.5,79.25,217.5,1.75,21.0,17.75,131.25,180.0,1.25,0.25,22.25,16.5,53.0,226.75,1.5,14.25,19.5,135.5,158.0,1.75,0.5,1179.119217326616,1497.3621124648614,0.11994021385908127,-6
322,322,2003,27,7,25,24,25,-7.5,14.25,16.75,76.25,232.5,3.25,32.5,21.0,98.75,225.25,0.75,0.25,19.75,16.5,124.0,214.0,2.0,21.25,17.5,92.0,224.0,2.75,0.375,1272.9132658971473,1379.5322149540489,0.04853861778974533,-17
323,323,2003,20,23,24,10,24,-1.5,20.5,20.0,173.75,163.5,1.75,16.25,15.25,76.25,231.25,1.5,0.5,22.25,20.75,136.0,240.25,2.5,19.0,19.0,84.0,271.75,1.75,0.75,1631.7369315145197,1586.697097807613,0.7419331073760986,13
324,324,2003,18,39,7,26,18,-4.5,28.0,19.75,146.25,230.0,1.0,14.5,18.0,91.0,205.5,3.0,0.875,17.75,14.5,92.5,158.5,2.25,25.0,19.0,149.75,229.0,1.5,0.25,1501.867707019981,1536.2518345943395,0.5986310839653015,13
